,KIC
1019,2583374
1020,2583486
1021,2583553
1022,2583576
1023,2583655
1024,2583777
1025,2583915
1026,2584086
1027,2584190
1028,2584627
1029,2584673
1030,2584692
1031,2584805
1032,2584831
1033,2584985
1034,2585419
1035,2585447
1036,2585484
1037,2585652
1038,2585676
1039,2585701
1040,2585767
1041,2585847
1042,2692084
1043,2692088
1044,2692156
1045,2692179
1046,2692271
1047,2692292
1048,2692377
1049,2692400
1050,2692422
1051,2692429
1052,2692818
1053,2693207
1054,2693221
1055,2693232
1056,2693297
1057,2693325
1058,2693327
1059,2693402
1060,2693451
1061,2693512
1062,2693535
1063,2693579
1064,2693585
1065,2693736
1066,2693926
1067,2693991
1068,2694056
1069,2694127
1070,2694414
1071,2694536
1072,2694552
1073,2694564
1074,2694632
1075,2694675
1076,2694727
1077,2694746
1078,2694829
1079,2694885
1080,2695006
1081,2695018
1082,2695106
1083,2695118
1084,2695125
1085,2695167
1086,2695204
1087,2695249
1088,2695264
1089,2695361
1090,2695444
1091,2695594
1092,2695841
1093,2695888
1094,2695948
1095,2695959
1096,2696109
1097,2696136
1098,2696205
1099,2696239
1100,2696434
1101,2696497
1102,2696705
1103,2696713
1104,2696717
1105,2696734
1106,2696744
1107,2696800
1108,2696843
1109,2697096
1110,2697119
1111,2697192
1112,2697236
1113,2697241
1114,2706707
1115,2707467
1116,2708172
1117,2708278
1118,2708286
1119,2708343
1120,2708595
1121,2708666
1122,2708787
1123,2708885
1124,2709095
1125,2709167
1126,2709224
1127,2709383
1128,2709700
1129,2709742
1130,2709751
1131,2709787
1132,2709873
1133,2709918
1134,2710001
1135,2710016
1136,2710188
1137,2710382
1138,2710447
1139,2710623
1140,2710660
1141,2710685
1142,2710740
1143,2710765
1144,2710773
1145,2710938
1146,2711018
1147,2711088
1148,2711131
1149,2711162
1150,2711220
1151,2711265
1152,2712292
1153,2712582
1154,2712773
1155,2712799
1156,2712800
1157,2712862
1158,2713049
1159,2713427
1160,2713448
1161,2713948
1162,2713986
1163,2714019
1164,2714022
1165,2714066
1166,2714077
1167,2714197
1168,2714250
1169,2714305
1170,2714431
1171,2714932
1172,2714994
1173,2715018
1174,2715113
1175,2715135
1176,2715209
1177,2715282
1178,2715410
1179,2715495
1180,2715686
1181,2715695
1182,2715763
1183,2715812
1184,2715822
1185,2715826
1186,2715838
1187,2716142
1188,2716319
1189,2716338
1190,2716443
1191,2716542
1192,2716543
1193,2716612
1194,2716801
1195,2716853
1196,2716872
1197,2716979
1198,2717119
1199,2717172
1200,2717177
1201,2717194
1202,2717227
1203,2717279
1204,2717499
1205,2717505
1206,2718071
1207,2718110
1208,2718112
1209,2718136
1210,2718371
1211,2718392
1212,2718575
1213,2718608
1214,2718781
1215,2718824
1216,2718854
1217,2718986
1218,2719226
1219,2719235
1220,2719461
1221,2719491
1222,2719735
1223,2719862
1224,2719873
1225,2719984
1226,2720019
1227,2720099
1228,2720200
1229,2720230
1230,2720526
1231,2720722
1232,2720751
1233,2721319
1234,2721353
1235,2721455
1236,2721506
1237,2721594
1238,2721668
1239,2721918
1240,2721930
1241,2721966
1242,2722037
1243,2722192
1244,2722250
1245,2722382
1246,2722550
1247,2722737
1248,2830918
1249,2830993
1250,2831055
1251,2831087
1252,2831113
1253,2831133
1254,2831217
1255,2831377
1256,2831390
1257,2831498
1258,2831699
1259,2831837
1260,2831943
1261,2831949
1262,2831983
1263,2832069
1264,2832175
1265,2832272
1266,2832402
1267,2832433
1268,2832506
1269,2832589
1270,2832777
1271,2832899
1272,2833020
1273,2833150
1274,2833278
1275,2833632
1276,2833826
1277,2833945
1278,2833962
1279,2833964
1280,2834053
1281,2834100
1282,2834146
1283,2834343
1284,2834379
1285,2834483
1286,2834580
1287,2834754
1288,2834975
1289,2835051
1290,2835075
1291,2835160
1292,2835163
1293,2835216
1294,2835228
1295,2835254
1296,2835656
1297,2835746
1298,2835787
1299,2835893
1300,2835911
1301,2835992
1302,2836041
1303,2836076
1304,2836129
1305,2836230
1306,2836342
1307,2836345
1308,2836412
1309,2836509
1310,2836980
1311,2837007
1312,2837126
1313,2837133
1314,2837204
1315,2837359
1316,2845518
1317,2845525
1318,2845541
1319,2845560
1320,2845653
1321,2845689
1322,2845701
1323,2845764
1324,2846231
1325,2846237
1326,2846319
1327,2846491
1328,2846517
1329,2846828
1330,2847186
1331,2847249
1332,2847308
1333,2847349
1334,2847416
1335,2847757
1336,2847930
1337,2848085
1338,2848136
1339,2848378
1340,2848655
1341,2848669
1342,2848757
1343,2848839
1344,2848973
1345,2848980
1346,2849152
1347,2849193
1348,2849278
1349,2849432
1350,2849534
1351,2849573
1352,2849645
1353,2849722
1354,2849788
1355,2849804
1356,2849805
1357,2849916
1358,2849955
1359,2849969
1360,2850139
1361,2850259
1362,2850262
1363,2850319
1364,2850322
1365,2850413
1366,2850516
1367,2850521
1368,2850590
1369,2850620
1370,2850625
1371,2850651
1372,2850669
1373,2850747
1374,2850788
1375,2850878
1376,2851100
1377,2851161
1378,2851200
1379,2851273
1380,2851286
1381,2852336
1382,2852387
1383,2852409
1384,2852629
1385,2852669
1386,2852798
1387,2853014
1388,2853029
1389,2853041
1390,2853317
1391,2853429
1392,2853765
1393,2853817
1394,2854099
1395,2854181
1396,2854219
1397,2854255
1398,2854303
1399,2854411
1400,2854420
1401,2854474
1402,2854698
1403,2854809
1404,2854863
1405,2854957
1406,2855022
1407,2855281
1408,2855294
1409,2855385
1410,2855471
1411,2855495
1412,2855553
1413,2855572
1414,2855684
1415,2855835
1416,2855862
1417,2855876
1418,2856016
1419,2856111
1420,2856120
1421,2856209
1422,2856216
1423,2856272
1424,2856379
1425,2856482
1426,2856503
1427,2856558
1428,2856822
1429,2856923
1430,2856928
1431,2856960
1432,2856964
1433,2857004
1434,2857015
1435,2857059
1436,2857338
1437,2857345
1438,2857410
1439,2857607
1440,2857612
1441,2857896
1442,2858010
1443,2858015
1444,2858016
1445,2858108
1446,2858175
1447,2858241
1448,2858327
1449,2858337
1450,2858372
1451,2858506
1452,2858531
1453,2858568
1454,2858597
1455,2858704
1456,2858741
1457,2858882
1458,2858897
1459,2859016
1460,2859019
1461,2859024
1462,2859040
1463,2859045
1464,2859087
1465,2859151
1466,2859211
1467,2859553
1468,2859628
1469,2859722
1470,2859753
1471,2859898
1472,2860114
1473,2860135
1474,2860241
1475,2860283
1476,2860324
1477,2860347
1478,2860414
1479,2860428
1480,2860479
1481,2860485
1482,2860547
1483,2860730
1484,2860930
1485,2861062
1486,2861175
1487,2861351
1488,2861404
1489,2861568
1490,2861871
1491,2861880
1492,2862066
1493,2865164
1494,2865225
1495,2865295
1496,2865318
1497,2865431
1498,2968611
1499,2969169
1500,2969280
1501,2969347
1502,2969639
1503,2969989
1504,2970512
1505,2970588
1506,2970670
1507,2970811
1508,2970816
1509,2970909
1510,2970955
1511,2970996
1512,2971104
1513,2971254
1514,2971614
1515,2971661
1516,2971671
1517,2971679
1518,2971717
1519,2971993
1520,2972024
1521,2972175
1522,2972492
1523,2972587
1524,2972773
1525,2972873
1526,2973368
1527,2973432
1528,2973461
1529,2973605
1530,2973800
1531,2974474
1532,2974550
1533,2974567
1534,2974591
1535,2974619
1536,2974671
1537,2974741
1538,2974935
1539,2974940
1540,2975275
1541,2975340
1542,2975507
1543,2975513
1544,2975526
1545,2975542
1546,2976017
1547,2982628
1548,2982925
1549,2982961
1550,2983080
1551,2983085
1552,2983182
1553,2983215
1554,2983491
1555,2983671
1556,2983772
1557,2984105
1558,2984106
1559,2984308
1560,2984362
1561,2984366
1562,2984409
1563,2984626
1564,2984717
1565,2984755
1566,2984778
1567,2984990
1568,2985262
1569,2985366
1570,2985505
1571,2985564
1572,2985571
1573,2985628
1574,2985814
1575,2985824
1576,2986041
1577,2986128
1578,2986150
1579,2986195
1580,2986467
1581,2986505
1582,2986506
1583,2986532
1584,2986745
1585,2986761
1586,2986844
1587,2986860
1588,2986883
1589,2987027
1590,2987160
1591,2987282
1592,2987327
1593,2987444
1594,2987447
1595,2987466
1596,2987548
1597,2987577
1598,2987856
1599,2988084
1600,2988113
1601,2988137
1602,2988249
1603,2988402
1604,2988527
1605,2988584
1606,2988724
1607,2988725
1608,2988826
1609,2989322
1610,2989404
1611,2989458
1612,2989706
1613,2989792
1614,2989808
1615,2990899
1616,2990988
1617,2991059
1618,2991092
1619,2991321
1620,2991451
1621,2991524
1622,2991603
1623,2991809
1624,2991952
1625,2991990
1626,2992035
1627,2992087
1628,2992222
1629,2992347
1630,2992433
1631,2992681
1632,2992768
1633,2992956
1634,2992960
1635,2992964
1636,2993013
1637,2993133
1638,2993288
1639,2993312
1640,2993430
1641,2993436
1642,2993812
1643,2993842
1644,2993904
1645,2994022
1646,2994064
1647,2994124
1648,2994131
1649,2994391
1650,2994414
1651,2994467
1652,2994564
1653,2994666
1654,2994813
1655,2994952
1656,2995083
1657,2995169
1658,2995185
1659,2995592
1660,2995626
1661,2995880
1662,2995938
1663,2995964
1664,2995973
1665,2996004
1666,2996076
1667,2996143
1668,2996183
1669,2996259
1670,2996339
1671,2996453
1672,2996463
1673,2996487
1674,2996903
1675,2996950
1676,2997195
1677,2997218
1678,2997346
1679,2997405
1680,2997467
1681,2997611
1682,2997644
1683,2997910
1684,2997925
1685,2998100
1686,2998272
1687,2998285
1688,2998428
1689,2998481
1690,2998680
1691,2998808
1692,3001793
1693,3001885
1694,3001905
1695,3001923
1696,3001926
1697,3001955
1698,3002087
1699,3002393
1700,3002478
1701,3002486
1702,3002516
1703,3002618
1704,3002666
1705,3002689
1706,3002749
1707,3002988
1708,3003043
1709,3003084
1710,3003231
1711,3003642
1712,3003716
1713,3003991
1714,3003992
1715,3096396
1716,3096443
1717,3096620
1718,3096946
1719,3097057
1720,3097214
1721,3097355
1722,3097398
1723,3097429
1724,3097546
1725,3097572
1726,3097645
1727,3097926
1728,3098032
1729,3098170
1730,3098353
1731,3098431
1732,3098511
1733,3098541
1734,3098553
1735,3098586
1736,3098596
1737,3098605
1738,3098619
1739,3098734
1740,3098736
1741,3098885
1742,3099119
1743,3099180
1744,3099271
1745,3099294
